id,address,city,floor,price,rooms,sq,year,latitude,longitude
0,Józefa Skalskiego,Będzin,5,289000.0,2,41.51,1980.0,53.110016,23.1262779
1,Przyjaźni,Będzin,8,263000.0,2,49.46,2000.0,53.1486614,23.0909447
2,Wolności,Będzin,4,408960.0,3,56.8,2000.0,53.1321741,23.1532674
3,Wolności,Będzin,3,470880.0,3,65.4,2000.0,53.1283944,23.0946781
4,Wolności,Będzin,2,470880.0,3,65.4,2000.0,53.1327359,23.1930323
5,Wolności,Będzin,4,313200.0,2,43.5,2000.0,53.1293395,23.1530324
6,Wolności,Będzin,4,324720.0,2,45.1,2000.0,53.1408975,23.1734189
7,Wolności,Będzin,4,392400.0,3,54.5,2000.0,53.1247494,23.1160236
8,Wolności,Będzin,3,408960.0,3,56.8,2000.0,53.1353725,23.1829394
9,Wolności,Będzin,4,415000.0,2,57.8,2000.0,53.1486614,23.0909447
10,27 Stycznia,Będzin,1,550000.0,5,99.92,2023.0,53.1413913,23.1576915
11,Władysława Jagiełły,Będzin,1,520000.0,3,84.0,2000.0,53.1053236,23.1514412
12,Zwycięstwa,Będzin,3,180000.0,2,38.0,2000.0,53.1161317,23.1891356
13,Stanisława Gawlika,Będzin,2,169000.0,1,36.0,2000.0,53.1590204,23.123521
14,Królowej Jadwigi,Będzin,1,459910.0,3,81.4,2023.0,53.1442706,23.0869125
15,Królowej Jadwigi,Będzin,1,254030.0,1,38.2,2023.0,53.1436893,23.1400042
16,Brzozowicka,Będzin,1,380000.0,2,39.66,2014.0,53.1555686,23.1985443
17,Wolności,Będzin,0,392400.0,3,54.5,2000.0,53.1493702,23.08772147359636
18,Wolności,Będzin,1,290880.0,2,40.4,2000.0,53.1372164,23.1525923
19,Wolności,Będzin,2,290880.0,2,40.4,2000.0,53.1487303,23.1587579
20,Wolności,Będzin,0,316080.0,2,43.9,2000.0,53.1350818,23.1028486
21,Wolności,Będzin,4,415000.0,2,57.7,2000.0,53.1436893,23.1400042
22,Wolności,Będzin,2,316080.0,2,43.9,2000.0,53.1410235,23.1372475
23,Wolności,Będzin,3,324720.0,2,45.1,2000.0,53.1218336,23.130973563381147
24,Wolności,Będzin,2,392400.0,3,54.5,2000.0,53.1371552,23.13998895372628
25,Wolności,Będzin,1,313200.0,2,43.5,2000.0,53.1096161,23.1308661
26,Wolności,Będzin,0,284400.0,2,39.5,2000.0,53.1442706,23.0869125
27,27 Stycznia,Będzin,1,550000.0,5,99.92,2023.0,53.1436893,23.1400042
28,Wolności,Będzin,1,304500.0,2,43.5,2000.0,53.1337904,23.1660347
29,Wolności,Będzin,1,408960.0,3,56.8,2000.0,53.142199,23.1773615
30,Wolności,Będzin,1,392400.0,3,54.5,2000.0,53.1241054,23.0871788
31,Wolności,Będzin,2,316080.0,2,43.9,2000.0,53.134783,23.1953412
32,Wolności,Będzin,0,470880.0,3,65.4,2000.0,53.1394019,23.1642758
33,Wolności,Będzin,4,290880.0,2,40.4,2000.0,53.1372164,23.1525923
34,Wolności,Będzin,3,313200.0,2,43.5,2000.0,53.1395706,23.1567096
35,Wolności,Będzin,0,470880.0,3,65.4,2000.0,53.1298532,23.1774507
36,Wolności,Będzin,0,290880.0,2,40.4,2000.0,53.1324914,23.1000014
37,Wolności,Będzin,1,470880.0,3,65.4,2000.0,53.1318083,23.1420024
38,Wolności,Będzin,2,408960.0,3,56.8,2000.0,53.1393574,23.1393043
39,Wolności,Będzin,3,316080.0,2,43.9,2000.0,53.1400485,23.1659813
40,Wolności,Będzin,4,316080.0,2,43.9,2000.0,53.1325077,23.0940447
41,Wolności,Będzin,1,316080.0,2,43.9,2000.0,53.1372164,23.1525923
42,Wolności,Będzin,1,324720.0,2,45.1,2000.0,53.1298532,23.1774507
43,Wolności,Będzin,2,313200.0,2,43.5,2000.0,53.1436893,23.1400042
44,Wolności,Będzin,1,470880.0,3,65.4,2000.0,53.1329774,23.1608175
45,Wolności,Będzin,1,316080.0,2,43.9,2000.0,53.1410235,23.1372475
46,Wolności,Będzin,2,324720.0,2,45.1,2000.0,53.1275113,23.143667286158315
47,Wolności,Będzin,4,316080.0,2,43.9,2000.0,53.1096161,23.1308661
48,Wolności,Będzin,0,313200.0,2,43.5,2000.0,53.1686593,23.0785846
49,Wolności,Będzin,3,316080.0,2,43.9,2000.0,53.142199,23.1773615
50,Wolności,Będzin,3,470880.0,3,65.4,2000.0,53.1202555,23.1481256
51,Wolności,Będzin,0,316080.0,2,43.9,2000.0,53.1382751,23.1779475
52,Wolności,Będzin,0,324720.0,2,45.1,2000.0,53.1427001,23.212182
53,Wolności,Będzin,3,290880.0,2,40.4,2000.0,53.1659333,23.122176
54,Wolności,Będzin,2,470880.0,3,65.4,2000.0,53.1659333,23.122176
55,Władysława Jagiełły,Będzin,3,365000.0,3,58.0,2000.0,53.1387016,23.1213532
56,Podskarpie,Będzin,2,650000.0,4,85.0,2010.0,53.1436893,23.1400042
57,Wolności,Będzin,1,315700.0,2,45.1,2000.0,53.1499225,23.1092771
58,Przyjaźni,Będzin,3,359000.0,3,61.83,2000.0,53.14314,23.1840493
59,Wolności,Będzin,0,280000.0,2,39.5,2000.0,53.1189962,23.1987327
60,Partyzantów,Będzin,3,212000.0,3,46.57,1980.0,53.1372164,23.1525923
61,Wolności,Będzin,0,381500.0,3,54.5,2000.0,53.151369,23.1179714
62,Władysława Jagiełły,Będzin,2,390000.0,3,73.0,1990.0,53.1427001,23.212182
63,Królowej Jadwigi,Będzin,1,289800.0,2,46.0,2023.0,53.120333,23.1375098
64,Królowej Jadwigi,Będzin,1,459910.0,3,81.4,2000.0,53.1492765,23.1222919
65,11 Listopada,Będzin,1,419500.0,2,42.0,2020.0,53.1237721,23.1652765
66,Kielecka 42,Będzin,1,460000.0,4,73.0,2023.0,53.1453778,23.1520322
67,Wolności,Będzin,0,457800.0,3,65.4,2000.0,53.1605248,23.1912845
68,Władysława Kniewskiego,Będzin,5,265000.0,2,51.0,2000.0,53.1436893,23.1400042
69,Wolności,Będzin,0,304500.0,2,43.5,2000.0,53.1394019,23.1642758
70,Marii Konopnickiej,Będzin,2,99000.0,1,39.9,2000.0,53.1270298,23.102758
71,Wolności,Będzin,0,315700.0,2,45.1,2000.0,53.1400485,23.1659813
72,Brzozowicka,Będzin,2,365000.0,2,39.97,2014.0,53.1355459,23.1594491
73,27 Stycznia,Będzin,1,550000.0,5,99.92,2023.0,53.1303716,23.1057026
74,Wolności,Będzin,0,307300.0,2,43.9,2000.0,53.1492765,23.1222919
75,św. Brata Alberta 82,Będzin,1,339000.0,2,40.0,2018.0,53.1324914,23.1000014
76,Józefa Skalskiego,Będzin,5,289000.0,2,41.5,1980.0,53.1363983,23.1640488
77,Kolorowa,Będzin,3,319000.0,3,64.0,1980.0,53.1247314,23.1149816
78,Przyjaźni,Będzin,8,310000.0,2,50.0,2000.0,53.1436893,23.1400042
79,Przyjaźni,Będzin,6,279000.0,3,58.6,2000.0,53.1433333,23.1091667
80,Piłsudskiego 15,Będzin,3,270000.0,3,83.76,2000.0,53.1141754,23.1316801
81,Topolowa,Będzin,1,469500.0,3,68.0,2011.0,53.1324914,23.1000014
82,Koszelew,Będzin,1,110000.0,1,34.0,2000.0,53.1484271,23.2268223
83,Polna,Będzin,6,249000.0,3,47.36,2000.0,53.0848483,23.2070269
84,Cynkowa,Będzin,3,210000.0,3,44.0,2000.0,53.1481038,23.1478278
85,Władysława Jagiełły,Będzin,1,480000.0,4,80.0,1990.0,53.1427001,23.212182
86,Siemońska,Będzin,4,349000.0,4,74.0,2000.0,53.1484271,23.2268223
87,św. Brata Alberta,Będzin,1,168000.0,1,29.88,1960.0,53.1393574,23.1393043
88,Wolności,Będzin,0,307300.0,2,43.9,2000.0,53.1469257,23.175582
89,Żwirki i Wigury,Będzin,4,265000.0,3,53.02,1975.0,53.1455384,23.1171959
90,Bolesława Chrobrego,Będzin,2,340000.0,3,63.0,2000.0,53.1400485,23.1659813
91,Rewolucjonistów,Będzin,4,380000.0,4,68.0,2000.0,53.1436893,23.1400042
92,Marii Konopnickiej,Będzin,4,299000.0,3,55.0,1980.0,53.1380053,23.1649334
93,9 Maja,Będzin,2,197000.0,2,34.2,2000.0,53.1400485,23.1659813
94,Walerego Wróblewskiego,Będzin,0,420000.0,3,74.28,2020.0,53.1327247,23.198154
95,Marii Konopnickiej,Będzin,0,399999.0,2,72.0,1950.0,53.1327673,23.1512825
96,Radosna,Będzin,3,178000.0,2,36.0,1963.0,53.1560987,23.1387793
97,Zwycięstwa,Będzin,3,195000.0,2,37.91,2000.0,53.1345866,23.1548541
98,Żwirki i Wigury,Będzin,2,389999.0,3,72.0,2000.0,53.1686593,23.0785846
99,Żwirki i Wigury,Będzin,4,330000.0,3,60.0,2000.0,53.1208173,23.1573391
100,Marii Konopnickiej,Będzin,2,219000.0,2,39.0,1940.0,53.1293395,23.1530324
101,Zawale,Będzin,0,209000.0,2,43.2,1920.0,53.1410235,23.1372475
102,Marii Konopnickiej,Będzin,2,218999.0,2,39.0,1950.0,53.1231257,23.2179081
103,Podskarpie,Będzin,1,889000.0,4,100.7,2021.0,53.1686593,23.0785846
104,Zawale,Będzin,0,199000.0,2,43.2,1910.0,53.142199,23.1773615
105,Barlickiego,Będzin,2,289000.0,3,118.22,1920.0,53.110016,23.1262779
106,Koszelew,Będzin,0,155000.0,2,37.8,2000.0,53.1616417,23.1227028
107,XXXV-lecia PRL,Będzin,9,319000.0,3,62.87,1970.0,53.1516981,23.0932444
108,Parkowa,DąbrowaGórnicza,1,549000.0,3,72.38,2022.0,53.1310819,23.1820267
109,Gustawa Morcinka,DąbrowaGórnicza,6,539000.0,2,56.0,2015.0,53.1048818,23.1248059
110,Tysiąclecia,DąbrowaGórnicza,7,229000.0,2,50.0,2000.0,53.1492765,23.1222919
111,Legionów Polskich,DąbrowaGórnicza,4,318900.0,4,73.9,2000.0,53.134783,23.1953412
112,Graniczna,DąbrowaGórnicza,8,1445731.0,4,121.49,2000.0,53.1424455,23.1100111
113,Parkowa,DąbrowaGórnicza,0,299000.0,2,40.0,2023.0,53.1436893,23.1400042
114,Stara,DąbrowaGórnicza,2,415000.0,3,60.0,2000.0,53.1310819,23.1820267
115,Przemysłowa,DąbrowaGórnicza,4,355040.0,2,44.38,2000.0,53.1048818,23.1248059
116,Zygmunta Krasińskiego,DąbrowaGórnicza,0,316000.0,3,54.0,2000.0,53.1352399,23.1247145
117,Łęknice 65,DąbrowaGórnicza,0,560000.0,3,70.8,2022.0,53.1388817,23.1402225
118,1 Maja,DąbrowaGórnicza,4,305000.0,3,55.0,2000.0,53.1394889,23.1242953
119,Włodzimierza Majakowskiego,DąbrowaGórnicza,4,229900.0,1,29.0,1970.0,53.1343293,23.1602216
120,Waleriana Łukasińskiego,DąbrowaGórnicza,3,459000.0,3,55.0,1980.0,53.1327769,23.19793
121,III Powstania Śląskiego,DąbrowaGórnicza,2,244500.0,2,47.0,2000.0,53.1231257,23.2179081
122,Graniczna,DąbrowaGórnicza,4,530000.0,3,53.5,2000.0,53.1324803,23.1374984
123,Graniczna,DąbrowaGórnicza,3,707850.0,4,71.5,2022.0,53.1436893,23.1400042
124,Graniczna,DąbrowaGórnicza,3,699500.0,4,71.5,2021.0,53.121351,23.0939555
125,Graniczna,DąbrowaGórnicza,6,1570750.0,4,122.0,2021.0,53.1327359,23.1930323
126,Adama Mickiewicza,DąbrowaGórnicza,1,192900.0,2,35.5,2000.0,53.1089578,23.1143185
127,Przemysłowa,DąbrowaGórnicza,2,353600.0,2,44.2,2000.0,53.1436893,23.1400042
128,Janusza Korczaka,DąbrowaGórnicza,0,295000.0,3,57.0,2000.0,53.1436893,23.1400042
129,Graniczna,DąbrowaGórnicza,7,465840.0,2,58.23,2000.0,53.1502527,23.1252156
130,Karola Adamieckiego,DąbrowaGórnicza,10,295000.0,3,52.31,1970.0,53.1410235,23.1372475
131,Marcina Kasprzaka 22,DąbrowaGórnicza,4,169900.0,1,34.45,2000.0,53.1514929,23.1229301
132,Janusza Korczaka,DąbrowaGórnicza,4,229900.0,3,51.7,2000.0,53.1318083,23.1420024
133,Przemysłowa,DąbrowaGórnicza,2,355040.0,2,44.38,2000.0,53.1329774,23.1608175
134,Włodzimierza Majakowskiego,DąbrowaGórnicza,3,404000.0,4,72.8,2000.0,53.1141754,23.1316801
135,1 Maja,DąbrowaGórnicza,0,269000.0,2,43.92,2000.0,53.1185878,23.2101479
136,Walentyny Tierieszkowej,DąbrowaGórnicza,2,182000.0,2,33.03,2000.0,53.1427001,23.212182
137,Królowej Jadwigi,DąbrowaGórnicza,2,265000.0,3,45.6,1950.0,53.2585018,23.1699296
138,Graniczna,DąbrowaGórnicza,6,409190.0,2,48.14,2000.0,53.1427001,23.212182
139,Topolowa,DąbrowaGórnicza,1,348000.0,3,63.0,1985.0,53.1323897,23.0866743
140,Włodzimierza Majakowskiego,DąbrowaGórnicza,0,390000.0,3,62.5,1990.0,53.1484271,23.2268223
141,Zygmunta Cieplaka,DąbrowaGórnicza,1,199000.0,2,41.93,1920.0,53.1332205,23.1534468
142,Graniczna 20,DąbrowaGórnicza,7,699000.0,3,63.0,2021.0,53.1380053,23.1649334
143,Elizy Orzeszkowej,DąbrowaGórnicza,1,184000.0,1,34.0,2000.0,53.1324803,23.1374984
144,Jana III Sobieskiego,DąbrowaGórnicza,1,316935.0,4,70.43,2000.0,53.1320371,23.1739559
145,Królowej Jadwigi,DąbrowaGórnicza,2,295000.0,2,46.55,1965.0,53.1048818,23.1248059
146,Karola Adamieckiego,DąbrowaGórnicza,0,170000.0,1,26.5,2000.0,53.1301781,23.1543284
147,Gustawa Morcinka,DąbrowaGórnicza,0,495000.0,3,56.0,2015.0,53.1310819,23.1820267
148,Włodzimierza Majakowskiego,DąbrowaGórnicza,1,700000.0,2,60.3,2016.0,53.1222261,23.1905686
149,Przemysłowa,DąbrowaGórnicza,3,355040.0,2,44.38,2000.0,53.1394019,23.1642758
150,Przemysłowa,DąbrowaGórnicza,4,1055332.0,4,114.71,2000.0,53.1324803,23.1374984
151,Przemysłowa,DąbrowaGórnicza,3,281070.0,1,34.7,2000.0,53.1590204,23.123521
152,Przemysłowa,DąbrowaGórnicza,4,941620.0,3,102.35,2000.0,53.1782521,23.1868801
153,Przemysłowa,DąbrowaGórnicza,3,355040.0,2,44.38,2000.0,53.1590204,23.123521
154,Przemysłowa,DąbrowaGórnicza,2,385600.0,2,48.2,2000.0,53.1427726,23.1094806
155,Przemysłowa,DąbrowaGórnicza,2,681533.0,4,86.27,2000.0,53.1319521,23.1367246
156,Przemysłowa,DąbrowaGórnicza,3,319788.0,2,39.48,2000.0,53.1205384,23.095729
157,Przemysłowa,DąbrowaGórnicza,2,355040.0,2,44.38,2000.0,53.1363983,23.1640488
158,Przemysłowa,DąbrowaGórnicza,3,344400.0,2,43.05,2000.0,53.1590204,23.123521
159,Przemysłowa,DąbrowaGórnicza,3,324567.0,2,40.07,2000.0,53.1394019,23.1642758
160,Przemysłowa,DąbrowaGórnicza,3,426284.0,2,53.96,2000.0,53.1298532,23.1774507
161,Przemysłowa,DąbrowaGórnicza,2,407798.0,2,51.62,2000.0,53.1362024,23.165895
162,Przemysłowa,DąbrowaGórnicza,2,676003.0,4,85.57,2000.0,53.1362024,23.165895
163,Przemysłowa,DąbrowaGórnicza,2,281070.0,1,34.7,2000.0,53.1590204,23.123521
164,Przemysłowa,DąbrowaGórnicza,3,378320.0,2,47.29,2000.0,53.1394019,23.1642758
165,Przemysłowa,DąbrowaGórnicza,3,385920.0,2,48.24,2000.0,53.1218349,23.104053
166,Przemysłowa,DąbrowaGórnicza,2,355040.0,2,44.38,2000.0,53.1455384,23.1171959
167,Przemysłowa,DąbrowaGórnicza,2,344400.0,2,43.05,2000.0,53.1394019,23.1642758
168,Przemysłowa,DąbrowaGórnicza,2,363040.0,2,45.38,2000.0,53.1304949,23.1132328
169,Przemysłowa,DąbrowaGórnicza,2,319788.0,2,39.48,2000.0,53.1304949,23.1132328
170,Przemysłowa,DąbrowaGórnicza,2,385920.0,2,48.24,2000.0,53.1362024,23.165895
171,Przemysłowa,DąbrowaGórnicza,2,324567.0,2,40.07,2000.0,53.1304949,23.1132328
172,Przemysłowa,DąbrowaGórnicza,1,324567.0,2,40.07,2000.0,53.120333,23.1375098
173,Przemysłowa,DąbrowaGórnicza,2,324567.0,2,40.07,2000.0,53.120333,23.1375098
174,Przemysłowa,DąbrowaGórnicza,2,324567.0,2,40.07,2000.0,53.1484271,23.2268223
175,Przemysłowa,DąbrowaGórnicza,1,546048.0,3,69.12,2000.0,53.1590204,23.123521
176,Przemysłowa,DąbrowaGórnicza,2,324567.0,2,40.07,2000.0,53.1186207,23.1033406
177,Przemysłowa,DąbrowaGórnicza,1,407798.0,2,51.62,2000.0,53.1241054,23.0871788
178,Przemysłowa,DąbrowaGórnicza,1,355040.0,2,44.38,2000.0,53.1394019,23.1642758
179,Przemysłowa,DąbrowaGórnicza,2,378320.0,2,47.29,2000.0,53.1394019,23.1642758
180,Przemysłowa,DąbrowaGórnicza,2,426284.0,2,53.96,2000.0,53.1324914,23.1000014
181,Przemysłowa,DąbrowaGórnicza,1,385600.0,2,48.2,2000.0,53.137362,23.1673906
182,Przemysłowa,DąbrowaGórnicza,1,532302.0,3,67.38,2000.0,53.1481038,23.1478278
183,Przemysłowa,DąbrowaGórnicza,1,378320.0,2,47.29,2000.0,53.1394019,23.1642758
184,Przemysłowa,DąbrowaGórnicza,1,681533.0,4,86.27,2000.0,53.1492765,23.1222919
185,Przemysłowa,DąbrowaGórnicza,1,281070.0,1,34.7,2000.0,53.1352399,23.1247145
186,Przemysłowa,DąbrowaGórnicza,1,363040.0,2,45.38,2000.0,53.1686593,23.0785846
187,Przemysłowa,DąbrowaGórnicza,1,676003.0,4,85.57,2000.0,53.1449189,23.194938
188,Przemysłowa,DąbrowaGórnicza,1,324567.0,2,40.07,2000.0,53.1394019,23.1642758
189,Przemysłowa,DąbrowaGórnicza,1,355040.0,2,44.38,2000.0,53.1372164,23.1525923
190,Przemysłowa,DąbrowaGórnicza,0,407798.0,2,51.62,2000.0,53.1408903,23.1623904
191,Przemysłowa,DąbrowaGórnicza,1,319788.0,2,39.48,2000.0,53.1413913,23.1576915
192,Przemysłowa,DąbrowaGórnicza,1,426284.0,2,53.96,2000.0,53.1048818,23.1248059
193,Przemysłowa,DąbrowaGórnicza,1,324567.0,2,40.07,2000.0,53.1394019,23.1642758
194,Przemysłowa,DąbrowaGórnicza,0,545811.0,3,69.09,2000.0,53.1408903,23.1623904
195,Przemysłowa,DąbrowaGórnicza,1,385920.0,2,48.24,2000.0,53.1247494,23.1160236
196,Przemysłowa,DąbrowaGórnicza,1,344400.0,2,43.05,2000.0,53.1277934,23.1780023
197,Przemysłowa,DąbrowaGórnicza,0,256304.0,1,30.88,2000.0,53.1363983,23.1640488
198,Przemysłowa,DąbrowaGórnicza,1,324567.0,2,40.07,2000.0,53.1304949,23.1132328
199,Przemysłowa,DąbrowaGórnicza,0,324162.0,2,40.02,2000.0,53.1469257,23.175582
200,Przemysłowa,DąbrowaGórnicza,0,385600.0,2,48.2,2000.0,53.1324914,23.1000014
201,Przemysłowa,DąbrowaGórnicza,0,362960.0,2,45.37,2000.0,53.1304949,23.1132328
202,Przemysłowa,DąbrowaGórnicza,0,355040.0,2,44.38,2000.0,53.1298532,23.1774507
203,Przemysłowa,DąbrowaGórnicza,0,324162.0,2,40.02,2000.0,53.1393574,23.1393043
204,Przemysłowa,DąbrowaGórnicza,0,324162.0,2,40.02,2000.0,53.1328396,23.1743098
205,Przemysłowa,DąbrowaGórnicza,0,385520.0,2,48.19,2000.0,53.1379752,23.152781
206,Przemysłowa,DąbrowaGórnicza,0,344400.0,2,43.05,2000.0,53.1400485,23.1659813
207,Przemysłowa,DąbrowaGórnicza,0,355040.0,2,44.38,2000.0,53.142199,23.1773615
208,Przemysłowa,DąbrowaGórnicza,1,353600.0,2,44.2,2000.0,53.1363983,23.1640488
209,Przemysłowa,DąbrowaGórnicza,0,355040.0,2,44.38,2000.0,53.1347791,23.1586375
210,Przemysłowa,DąbrowaGórnicza,4,379840.0,2,47.48,2000.0,53.1393574,23.1393043
211,Przemysłowa,DąbrowaGórnicza,4,385600.0,2,48.2,2000.0,53.1304949,23.1132328
212,Przemysłowa,DąbrowaGórnicza,4,1032516.0,3,112.23,2000.0,53.1304949,23.1132328
213,Przemysłowa,DąbrowaGórnicza,1,355040.0,2,44.38,2000.0,53.1590204,23.123521
214,Przemysłowa,DąbrowaGórnicza,4,407798.0,2,51.62,2000.0,53.1436893,23.1400042
215,Przemysłowa,DąbrowaGórnicza,4,324567.0,2,40.07,2000.0,53.1310819,23.1820267
216,Przemysłowa,DąbrowaGórnicza,4,1017704.0,4,110.62,2000.0,53.1048818,23.1248059
217,Przemysłowa,DąbrowaGórnicza,3,363040.0,2,45.38,2000.0,53.1436893,23.1400042
218,Przemysłowa,DąbrowaGórnicza,4,355040.0,2,44.38,2000.0,53.1141754,23.1316801
219,Przemysłowa,DąbrowaGórnicza,1,355040.0,2,44.38,2000.0,53.1237721,23.1652765
220,Przemysłowa,DąbrowaGórnicza,0,353600.0,2,44.2,2000.0,53.1248213,23.1718515
221,Przemysłowa,DąbrowaGórnicza,0,288522.0,2,35.62,2000.0,53.1433088,23.1542881
222,Przemysłowa,DąbrowaGórnicza,2,379840.0,2,47.48,2000.0,53.1301819,23.0907497
223,Przemysłowa,DąbrowaGórnicza,4,355040.0,2,44.38,2000.0,53.1329774,23.1608175
224,Przemysłowa,DąbrowaGórnicza,3,355040.0,2,44.38,2000.0,53.1427001,23.212182
225,Przemysłowa,DąbrowaGórnicza,2,353600.0,2,44.2,2000.0,53.1427001,23.212182
226,Przemysłowa,DąbrowaGórnicza,0,426205.0,2,53.95,2000.0,53.1321741,23.1532674
227,Przemysłowa,DąbrowaGórnicza,0,380000.0,2,47.5,2000.0,53.1375699,23.122284
228,Przemysłowa,DąbrowaGórnicza,2,380000.0,2,47.5,2000.0,53.1218349,23.104053
229,Przemysłowa,DąbrowaGórnicza,3,407798.0,2,51.62,2000.0,53.1298532,23.1774507
230,Przemysłowa,DąbrowaGórnicza,4,1016600.0,3,110.5,2000.0,53.1362024,23.165895
231,Przemysłowa,DąbrowaGórnicza,3,355040.0,2,44.38,2000.0,53.1590204,23.123521
232,Przemysłowa,DąbrowaGórnicza,1,279207.0,2,34.47,2000.0,53.1337904,23.1660347
233,Przemysłowa,DąbrowaGórnicza,0,355040.0,2,44.38,2000.0,53.1309353,23.1771968
234,Przemysłowa,DąbrowaGórnicza,1,379840.0,2,47.48,2000.0,53.1590204,23.123521
235,Przemysłowa,DąbrowaGórnicza,1,295646.0,2,35.62,2000.0,53.1268344,23.1603417
236,Przemysłowa,DąbrowaGórnicza,2,355040.0,2,44.38,2000.0,53.1268344,23.1603417
237,Przemysłowa,DąbrowaGórnicza,3,380000.0,2,47.5,2000.0,53.110016,23.1262779
238,Przemysłowa,DąbrowaGórnicza,4,324567.0,2,40.07,2000.0,53.1419263,23.1778405
239,Przemysłowa,DąbrowaGórnicza,0,267260.0,1,32.2,2000.0,53.1436893,23.1400042
240,Przemysłowa,DąbrowaGórnicza,2,279207.0,2,34.47,2000.0,53.1405168,23.1278096
241,Przemysłowa,DąbrowaGórnicza,4,344400.0,2,43.05,2000.0,53.1436893,23.1400042
242,Przemysłowa,DąbrowaGórnicza,4,428101.0,2,54.19,2000.0,53.110016,23.1262779
243,Przemysłowa,DąbrowaGórnicza,3,353600.0,2,44.2,2000.0,53.1277934,23.1780023
244,Przemysłowa,DąbrowaGórnicza,3,385600.0,2,48.2,2000.0,53.1270298,23.102758
245,Przemysłowa,DąbrowaGórnicza,1,380000.0,2,47.5,2000.0,53.1436893,23.1400042
246,Przemysłowa,DąbrowaGórnicza,0,353600.0,2,44.2,2000.0,53.1394019,23.1642758
247,Przemysłowa,DąbrowaGórnicza,4,353600.0,2,44.2,2000.0,53.1427001,23.212182
248,Przemysłowa,DąbrowaGórnicza,4,380000.0,2,47.5,2000.0,53.1394019,23.1642758
249,Przemysłowa,DąbrowaGórnicza,3,324567.0,2,40.07,2000.0,53.1293395,23.1530324
250,Przemysłowa,DąbrowaGórnicza,3,676003.0,4,85.57,2000.0,53.134783,23.1953412
251,Przemysłowa,DąbrowaGórnicza,3,379840.0,2,47.48,2000.0,53.134783,23.1953412
252,Przemysłowa,DąbrowaGórnicza,3,353600.0,2,44.2,2000.0,53.1394019,23.1642758
253,Przemysłowa,DąbrowaGórnicza,3,546048.0,3,69.12,2000.0,53.1301819,23.0907497
254,Mikołaja Kopernika,DąbrowaGórnicza,3,259000.0,3,49.0,1970.0,53.1485478,23.12676
255,Elizy Orzeszkowej,DąbrowaGórnicza,3,209000.0,2,48.0,1962.0,53.1406402,23.1338696
256,Wojska Polskiego,DąbrowaGórnicza,0,339000.0,3,61.8,2000.0,53.1353725,23.1829394
257,Ofiar Katynia,DąbrowaGórnicza,2,215000.0,2,49.0,2000.0,53.1562455,23.1216826
258,Karola Adamieckiego,DąbrowaGórnicza,0,170000.0,1,26.5,2000.0,53.1427001,23.212182
259,Kościelna,DąbrowaGórnicza,2,1050000.0,4,107.7,2000.0,53.142199,23.1773615
260,Królowej Jadwigi,DąbrowaGórnicza,7,234000.0,2,34.0,2000.0,53.1343293,23.1602216
261,3 Maja,DąbrowaGórnicza,3,275000.0,3,54.0,1975.0,53.1427001,23.212182
262,Marii Szulc,DąbrowaGórnicza,0,239000.0,1,38.33,2000.0,53.1427001,23.212182
263,Adama Rapackiego,DąbrowaGórnicza,4,239900.0,3,48.0,2000.0,53.1308481,23.1471722
264,Chopina 16,DąbrowaGórnicza,1,289000.0,2,45.0,2022.0,53.1145254,23.1257169
265,Chopina,DąbrowaGórnicza,1,342000.0,2,52.0,2022.0,53.1486614,23.0909447
266,Marcina Kasprzaka,DąbrowaGórnicza,0,227000.0,3,49.0,2000.0,53.1208173,23.1573391
267,Włodzimierza Majakowskiego,DąbrowaGórnicza,2,229000.0,2,49.0,2000.0,53.1486614,23.0909447
268,Bolesława Prusa,DąbrowaGórnicza,3,220000.0,2,46.0,2000.0,53.1502527,23.1252156
269,Tysiąclecia,DąbrowaGórnicza,4,255000.0,3,51.0,1970.0,53.1436893,23.1400042
270,Marcina Kasprzaka,DąbrowaGórnicza,4,239000.0,2,39.0,2000.0,53.1436893,23.1400042
271,Graniczna,DąbrowaGórnicza,0,618000.0,3,61.8,2022.0,53.1436893,23.1400042
272,Marcina Kasprzaka,DąbrowaGórnicza,4,399000.0,3,62.3,2000.0,53.1436893,23.1400042
273,1 Maja,DąbrowaGórnicza,4,305000.0,3,54.5,2000.0,53.1436893,23.1400042
274,Tysiąclecia,DąbrowaGórnicza,4,255000.0,3,51.0,2000.0,53.1436893,23.1400042
275,Marcina Kasprzaka,DąbrowaGórnicza,3,279000.0,3,49.0,2000.0,53.1436893,23.1400042
276,Włodzimierza Majakowskiego,DąbrowaGórnicza,3,248000.0,2,47.0,2000.0,53.1436893,23.1400042
277,Graniczna,DąbrowaGórnicza,4,649000.0,3,67.0,2022.0,53.1436893,23.1400042
278,Parkowa,DąbrowaGórnicza,0,509000.0,3,67.7,2022.0,53.1436893,23.1400042
279,Legionów Polskich,DąbrowaGórnicza,4,299000.0,2,48.8,2000.0,53.1436893,23.1400042
280,Marcina Kasprzaka 44,DąbrowaGórnicza,0,254000.0,2,38.3,2000.0,53.1436893,23.1400042
281,Włodzimierza Majakowskiego,DąbrowaGórnicza,4,695000.0,4,98.7,2000.0,53.1436893,23.1400042
282,Legionów Polskich,DąbrowaGórnicza,2,449000.0,3,63.6,1982.0,53.1337904,23.1660347
